Arrest Number,Race,Ethnicity,Sex,Age,Arrest Date,Arrest Time,Arrest Type,UCR Code,Description,F/M,Counts,Location of Arrest,X,Y,District,Beat,Tract
314749,B,N,M,26,10/27/19, 2:26:00PM,Warrant/OFA,13B,SIMPLE ASSAULT & BATTERY OR AFFRAY,M,1,2400 GLENBROOK DR,2036618.144,828131.9248,D2,214,101
317348,W,H,M,30,2/29/20, 4:29:00PM,Warrant/OFA,13A,ASSAULT BY STRANGULATION INFLICT PHYSICAL INJURY,F,1,3800 S ROXBORO ST,2022729.146,800573.0458,D4,415,2009
333914,W,,M,25,12/21/22,11:17:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,200 S MANGUM ST,2029477.059,816274.3501,D5,512,2300
313313,B,U,F,20,8/21/19, 4:27:00AM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,2100 N ROXBORO ST,2032524.606,825591.4183,D2,213,101
834355,B,N,M,31,8/15/24,10:03:00AM,On-View,35A,MAINTAIN DWELLING/VEH FOR CONTROLLED SUBSTANCE,F,2,600 HOMELAND AVE,2027969.765,804640.5526,D4,412,2009
319225,B,N,M,37,7/22/20, 3:37:00AM,On-View,35B,POSSESSION OF DRUG PARAPHERNALIA,M,1,N ROXBORO ST/E KNOX ST,2032221.055,823594.7582,D2,212,200
337712,B,N,M,33,6/16/23,11:30:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,200 S MANGUM ST,2029352.196,816297.8465,D5,512,2300
834341,B,,F,23,8/22/24, 5:16:00AM,Summons/Cited,35A,POSSESS CONTROL SUBSTANCE SCHEDULE VI,M,1,5900 TATTERSALL DR,2021156.128,788877.9201,D4,421,2022
327001,W,N,M,31,11/11/21, 5:29:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,F,1,200 S HOLMAN ST,2033281.185,813115.9473,D1,113,1100
326396,B,N,M,51,10/1/21, 8:11:00PM,On-View,280,RECEIVING OR TRANSFERRING STOLEN VEHICLES,F,1,2100 HOLLOWAY ST,2040350.387,816021.9878,D1,122,1002
316421,B,N,M,28,1/15/20, 8:40:00AM,On-View,9910,WARRANT SERVICE FOR OTHER JURISDICTION,F,1,200 S MANGUM ST,2029117.739,816715.6143,D5,512,2300
316256,B,U,M,28,1/8/20, 4:53:00PM,Warrant/OFA,250,FORGERY OR POSSESS COUNTERFEIT INSTRUMENTS,F,1,600 E MAIN ST,2031199.832,815560.6256,D5,513,1100
337215,B,U,M,25,5/18/23,12:08:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,2800 GUESS RD,2021171.607,830214.643,D2,211,1705
329835,B,N,F,29,3/26/22, 2:23:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,900 EDINBOROUGH DR,2045269.093,781239.817,D4,423,2028
836581,W,H,M,24,11/20/24,11:30:00AM,Warrant/OFA,290,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,M,1,3600 UNIVERSITY DR,2015319.124,807114.5945,D3,314,2015
343624,B,N,M,53,1/18/24,12:35:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,200 S MANGUM ST,2029360.921,816375.9653,D5,512,2300
307675,B,N,M,34,11/14/18,12:23:00AM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,900 MOREHEAD AVE,2025373.089,815883.5166,D3,312,500
337282,B,N,M,28,5/19/23, 4:18:00PM,On-View,9914,CARELESS AND RECKLESS DRIVING,M,1,I85 N/,2027833.574,826546.9916,D2,213,102
832883,B,N,M,22,5/16/24, 8:28:00AM,Warrant/OFA,90Z,PROBATION VIOLATION,F,1,1700 CHEEK RD,2037757.253,820472.0864,D1,121,1002
342142,B,N,M,44,12/8/23, 1:59:00PM,Warrant/OFA,09A,MURDER (FIRST DEGREE),F,1,600 E MAIN ST,2031201.987,815522.6151,D5,513,1100
325533,B,N,M,43,8/2/21, 6:50:00AM,Warrant/OFA,290,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,M,1,2400 N ROXBORO ST,2032440.022,826647.5527,D2,213,101
334790,W,H,M,47,2/14/23,10:07:00PM,On-View,90D,DRIVING WHILE IMPAIRED,M,1,2300 ANTHONY DR,2006768.504,831161.4369,D2,221,1707
319481,W,N,F,42,8/9/20,11:22:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,2100 N ROXBORO ST,2032533.572,825515.9501,D2,213,101
322834,B,N,F,53,4/10/21, 3:05:00PM,Warrant/OFA,90Z,FAIL TO APPEAR-RELEASE ORDER,M,1,1200 DAYTON ST,2032742.19,808997.1271,D4,413,1400
316361,B,N,M,44,1/13/20,10:53:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,200 S MANGUM ST,2029489.783,816396.0935,D5,512,2300
329955,B,N,M,42,4/4/22, 5:03:00PM,On-View,90Z,RESIST DELAY OBSTRUCT PUBLIC OFFICER,M,1,4500 NC 55 HWY,2031314.329,784264.6343,D4,421,2027
308937,B,N,M,32,1/23/19, 5:04:00PM,Warrant/OFA,23H,LARCENY OF CHOSE IN ACTION,F,1,1700 HOLLOWAY ST,2038128.134,816400.3145,D1,114,1002
307006,B,N,M,24,10/4/18, 4:19:00AM,Warrant/OFA,220,BREAKING AND ENTERING BUILDING  (MISDEMEANOR),M,1,100 COMMERCE ST,2032047.698,815890.0423,D1,112,1100
330359,B,N,M,36,5/3/22, 9:39:00PM,Warrant/OFA,280,POSSESSING STOLEN GOODS,F,1,200 S MANGUM ST,2029494.794,816283.2743,D5,512,2300
325992,W,N,M,29,9/8/21, 3:28:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,M,1,200 NC 54 HWY W,2018543.141,786522.7183,D3,322,2023
307283,W,N,M,16,10/19/18, 8:40:00PM,Warrant/OFA,13C,COMMUNICATING THREATS,M,1,1000 PARK AVE,2036507.79,817614.5445,D1,113,1002
327697,B,N,F,22,1/6/22, 1:45:00PM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,F,1,MARTIN LUTHER KING JR PKWY/STRATFORD LAKES DR,2026146.402,797550.5525,D4,415,2025
341658,B,,F,31,11/2/23, 9:46:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,,1,200 S MANGUM ST,2029477.686,816386.0211,D5,512,2300
331390,B,N,F,43,7/11/22, 3:25:00PM,Warrant/OFA,13B,SIMPLE ASSAULT & BATTERY OR AFFRAY,M,1,200 S MANGUM ST,2029070.611,816536.3328,D5,512,2300
331808,B,,F,32,8/9/22, 5:04:00AM,Warrant/OFA,9910,WARRANT SERVICE FOR OTHER JURISDICTION,F,1,200 S MANGUM ST,2029349.129,816391.7063,D5,512,2300
310155,W,H,F,31,3/23/19, 8:28:00PM,Summons/Cited,90J,TRESPASS (SECOND DEGREE),M,1,1700 CHEEK RD,2037844.302,819925.6902,D1,122,1002
340978,B,,M,22,9/8/23, 7:26:00PM,Summons/Cited,520,CARRYING CONCEALED WEAPONS,M,1,400 CHANDLER RD,2048310.415,817045.4835,D1,123,1802
337108,B,N,M,50,5/10/23, 2:23:00PM,Warrant/OFA,90Z,PROBATION VIOLATION,M,1,200 S MANGUM ST,2029464.865,816365.1029,D5,512,2300
319809,B,N,F,44,9/2/20, 3:01:00PM,Summons/Cited,26A,TRANSFER PRICE TAG FROM GOODS TO OTHER GOODS,M,1,5400 NEW HOPE COMMONS DR,2000355.22,802560.3383,D3,321,2017
334539,B,,M,48,1/30/23, 9:00:00PM,On-View,290,INJURY TO PERSONAL PROPERTY,M,1,400 CRAVEN ST,2035193.015,833819.6967,D2,214,1709
321038,B,N,M,28,12/2/20,11:49:00PM,Warrant/OFA,13C,CYBERSTALKING,M,1,MERRICK ST/LINWOOD AVE,2030203.239,812071.6629,D4,411,1301
327923,B,N,F,25,1/26/22,10:40:00PM,On-View,13B,SIMPLE ASSAULT & BATTERY OR AFFRAY,M,1,600 DISCOVERY WAY,2052719.764,795747.3514,D4,423,1809
